county_fips,dem_share_2016,dem_share_2020,dem_share_avg_2016_2020
01001,0.2462253193960511,0.274423027687356,0.26032417354170356
01003,0.2020779277651876,0.22731728972826992,0.21469760874672877
01005,0.47176755447941887,0.461391071086415,0.466579312782917
01007,0.21760334417092428,0.208810850594049,0.21320709738248664
01009,0.08618828702778333,0.09652297905012613,0.09135563303895473
01011,0.7558886509635975,0.7504355400696864,0.7531620955166419
01013,0.43189984931030484,0.420778945134246,0.42633939722227543
01015,0.28720150953217516,0.30240276646063957,0.29480213799640737
01017,0.42445145666691125,0.4210212991136394,0.4227363778902753
01019,0.14733333333333334,0.1330384205783567,0.140185876955845
01021,0.16179413072476656,0.16040296481887462,0.1610985477718206
01023,0.4309078309078309,0.42125825138084333,0.42608304114433715
01025,0.4460392582822562,0.44001835002676043,0.4430288041545083
01027,0.1908361616784943,0.18447874199184625,0.18765745183517027
01029,0.10607940446650124,0.09428691157982959,0.10018315802316541
01031,0.21004179936305734,0.23098976109215016,0.22051578022760376
01033,0.3039321639371519,0.30287519059028534,0.30340367726371864
01035,0.47384615384615386,0.46285892634207243,0.46835254009411315
01037,0.3451481696687972,0.33093790307720655,0.33804303637300187
01039,0.15248498786252715,0.15721962211821805,0.1548523049903726
01041,0.2693864335437915,0.258988421694089,0.2641874276189402
01043,0.10324299344877266,0.10827409449199671,0.10575854397038469
01045,0.24219307392569014,0.2654958147178144,0.2538444443217523
01047,0.6891812080536913,0.6888588487101498,0.6890200283819206
01049,0.14472369840572183,0.14737675571467915,0.1460502270602005
01051,0.23402721955816724,0.25577952678196936,0.2449033731700683
01053,0.3167125171939477,0.31152213846836,0.31411732783115387
01055,0.24400046734431594,0.245609937360654,0.24480520235248499
01057,0.1686896210056973,0.1604370327774583,0.1645633268915778
01059,0.1883734888107691,0.16738886214090837,0.17788117547583873
01061,0.13238996440663253,0.12818452141766454,0.13028724291214855
01063,0.8272521129663987,0.8161378440848918,0.8216949785256452
01065,0.6007800704579769,0.5936346276257161,0.5972073490418465
01067,0.28924785461887936,0.28286117442743947,0.28605451452315944
01069,0.25763432547352144,0.2836719007356978,0.2706531131046096
01071,0.1805357581715409,0.15893445076324453,0.1697351044673927
01073,0.5378976207049078,0.5668344091523129,0.5523660149286103
01075,0.1510424260096224,0.13674496644295303,0.14389369622628773
01077,0.262925682280521,0.2730543587863232,0.26799002053342214
01079,0.2508298755186722,0.22425081843364392,0.23754034697615806
01081,0.3801457553673429,0.39753998944078994,0.38884287240406645
01083,0.24569871545348385,0.2829938731578076,0.2643462943056457
01085,0.736056677720832,0.7303172737955347,0.7331869757581834
01087,0.8409469823274425,0.8218291131922766,0.8313880477598595
01089,0.41237478830526053,0.4592404743615376,0.43580763133339906
01091,0.5176069321533924,0.5066937494229526,0.5121503407881725
01093,0.11270266016055407,0.10703833772314895,0.10987049894185151
01095,0.14398243045387993,0.1518628302754638,0.14792263036467185
01097,0.43147123166489343,0.4397704698506505,0.43562085075777196
01099,0.4277673545966229,0.4202037351443124,0.4239855448704677
01101,0.634057620077702,0.6595359771054783,0.6467967985915901
01103,0.23089864587607714,0.2501795909108095,0.24053911839344333
01105,0.7310265723571019,0.7424504712444701,0.736738521800786
01107,0.4212982605006364,0.418261231281198,0.4197797458909172
01109,0.3965801239312887,0.4120485451089341,0.4043143345201114
01111,0.22919167667066825,0.20470172830328934,0.21694670248697878
01113,0.5098195752834105,0.5323345344206334,0.5210770548520219
01115,0.15008055853920516,0.1763607378729219,0.16322064820606352
01117,0.23935122972592893,0.2944904751788117,0.2669208524523703
01119,0.7501185395922239,0.7441562600064041,0.747137399799314
01121,0.37027646250190926,0.37141322477595906,0.37084484363893416
01123,0.2887563438497358,0.2813850734799731,0.28507070866485446
01125,0.39959740831603446,0.42488917891136563,0.41224329361370005
01127,0.1563466954072941,0.1567648203398625,0.15655575787357828
01129,0.2820817490494297,0.2559510315121288,0.2690163902807792
01131,0.7141211323238973,0.6883183132120387,0.701219722767968
01133,0.08633663366336633,0.08720565851911541,0.08677114609124087
02001,0.44724491569615854,0.4975672581568403,0.47240608692649944
02002,0.3320762623088204,0.3641398407753548,0.34810805154208757
02003,0.18678506923540036,0.23850106529640305,0.2126430672659017
02004,0.5055879494655005,0.5326357747882412,0.5191118621268709
02005,0.46390101892285296,0.5076681560198044,0.4857845874713287
02006,0.33971868720696585,0.36186684361866844,0.3507927654128171
02007,0.2028206850235057,0.2396667388011253,0.2212437119123155
02008,0.16584967320261437,0.20405391286176994,0.18495179303219217
02009,0.23202820093163792,0.2623152709359606,0.24717173593379926
02010,0.224234156021332,0.25231310140636565,0.23827362871384883
02011,0.24947589098532494,0.30608253471543123,0.2777792128503781
02012,0.22531260955942503,0.2725345622119816,0.2489235858857033
02013,0.29481792717086835,0.36430718775621757,0.32956255746354296
02014,0.33732402172708126,0.38824601366742595,0.3627850176972536
02015,0.4199402710774179,0.4953712450406197,0.4576557580590188
02016,0.5070032322610436,0.5486521181001284,0.5278276751805859
02017,0.556872037914692,0.5954506190613302,0.5761613284880112
02018,0.5929015622630062,0.6290821126192716,0.6109918374411389
02019,0.6199767711962834,0.6122128411545258,0.6160948061754046
02020,0.654938466393184,0.6719438325991189,0.6634411494961514
02021,0.5483577826820719,0.5946836555360281,0.57152071910905
02022,0.43757527097551185,0.49290895312330846,0.46524211204941013
02023,0.47133550488599346,0.5103817816476892,0.49085864326684137
02024,0.4317605888741402,0.4682618153055171,0.45001120208982864
02025,0.469557964970809,0.510713889197291,0.49013592708404996
