index,county_fips,emp_total,exposure_weighted,dem_share_avg_2016_2020
0,01001,34132.0,0.0002595735559362403,0.2603241735417035
1,01003,259518.0,0.0015237775535449098,0.2146976087467287
2,01005,14417.0,0.0030859847737586036,0.466579312782917
3,01007,9944.0,0.0036831952154542207,0.2132070973824866
4,01009,20662.0,0.003602816374055904,0.0913556330389547
5,01011,2837.0,0.00034466373529376694,0.7531620955166419
6,01013,14805.0,0.005458880021057278,0.4263393972222754
7,01015,119221.0,0.004086741064008166,0.2948021379964073
8,01017,17069.0,0.002221390060995137,0.4227363778902753
9,01019,9489.0,0.00019653714633225533,0.140185876955845
10,01021,20421.0,0.00372069735017004,0.1610985477718206
11,01023,5103.0,0.0011805609095788038,0.4260830411443371
12,01025,20001.0,0.007459758920510725,0.4430288041545083
13,01027,9928.0,0.022450301305599312,0.1876574518351702
14,01029,2830.0,0.00021690743016138813,0.1001831580231654
15,01031,42387.0,0.004087028332387868,0.2205157802276037
16,01033,67145.0,0.00656118007584615,0.3034036772637186
17,01035,5096.0,0.0006992892324815122,0.4683525400941131
18,01037,746.0,0.0008155707023174165,0.3380430363730018
19,01039,26858.0,0.001553213515083137,0.1548523049903726
20,01041,4388.0,0.0007477436623685352,0.2641874276189402
21,01043,84314.0,0.004458579848555491,0.1057585439703846
22,01045,34946.0,0.0006003369702463679,0.2538444443217523
23,01047,20785.0,0.003265798337150524,0.6890200283819206
24,01049,52821.0,0.01007358471695341,0.1460502270602005
25,01051,44971.0,0.004676854249460514,0.2449033731700683
26,01053,24754.0,0.004936450111460608,0.3141173278311538
27,01055,103081.0,0.004103015249819313,0.2448052023524849
28,01057,5425.0,0.00513388856543364,0.1645633268915778
29,01059,22866.0,0.016238403836358023,0.1778811754758387
30,01061,8891.0,0.004808736762238093,0.1302872429121485
31,01063,1596.0,0.0001769916906344948,0.8216949785256452
32,01065,3258.0,0.001065180937714145,0.5972073490418465
33,01067,8306.0,0.004268952259191304,0.2860545145231594
34,01069,148488.0,0.002311813861217472,0.2706531131046096
35,01071,28157.0,0.008794985587132863,0.1697351044673927
36,01073,1344324.0,0.001863423350493106,0.5523660149286103
37,01075,5689.0,0.011699028607491899,0.1438936962262877
38,01077,84541.0,0.0034897033181581667,0.2679900205334221
39,01079,9458.0,0.001410059448883952,0.237540346976158
40,01081,159171.0,0.003996050920447178,0.3888428724040664
41,01083,57116.0,0.003967761473456444,0.2643462943056457
42,01085,1588.0,0.00023261667071764746,0.7331869757581834
43,01087,6293.0,0.0,0.8313880477598595
44,01089,696474.0,0.00262925234903311,0.435807631333399
45,01091,14855.0,0.0040156727467201515,0.5121503407881725
46,01093,22546.0,0.014829789099477787,0.1098704989418515
47,01095,123340.0,0.008132650055663009,0.1479226303646718
48,01097,596357.0,0.002021032045597439,0.4356208507577719
49,01099,13317.0,0.01111969184663356,0.4239855448704677
50,01101,387678.0,0.0019246567192988933,0.6467967985915901
51,01103,160908.0,0.0049723170782379955,0.2405391183934433
52,01105,2191.0,0.0023004736034793077,0.736738521800786
53,01107,6561.0,0.01591493268311714,0.4197797458909172
54,01109,34431.0,0.001774520085817625,0.4043143345201114
55,01111,8440.0,0.005694611273244768,0.2169467024869787
56,01113,28987.0,0.0013099854368434972,0.5210770548520219
57,01115,60505.0,0.005212185885937914,0.1632206482060635
58,01117,326341.0,0.0020118326208960887,0.2669208524523703
59,01119,6342.0,0.0001027868198284891,0.747137399799314
60,01121,68323.0,0.006256314161155162,0.3708448436389341
61,01123,30057.0,0.0028617789020823946,0.2850707086648544
62,01125,275708.0,0.004704384066390667,0.4122432936137
63,01127,45639.0,0.003468506855155198,0.1565557578735782
64,01129,5163.0,0.008146483369243653,0.2690163902807792
65,01131,2782.0,0.0013934412709014393,0.701219722767968
66,01133,23668.0,0.0205468662766874,0.0867711460912408
67,02013,9132.0,0.014754291923240289,0.3295625574635429
68,02016,12105.0,0.0127586366401459,0.5278276751805859
69,02020,571660.0,0.00030655384618029217,0.6634411494961514
70,02050,6487.0,1.891946973168925e-05,
71,02060,779.0,0.004456957602058285,
72,02068,1509.0,0.0006305377466404719,
73,02070,2069.0,0.0006982033628004122,
74,02090,91468.0,0.0004979883164547548,
75,02100,1040.0,1.6858598921630244e-05,
76,02105,732.0,0.0,
77,02110,35563.0,0.0008599994291657053,
78,02122,53693.0,0.0005272955686906918,
79,02130,12916.0,0.0005188577187172102,
80,02150,15092.0,0.007985349602356173,
81,02158,1942.0,0.0,
82,02164,359.0,0.001749524957774074,
83,02170,74262.0,0.0008204901988697441,
84,02180,4345.0,9.330583183938187e-05,
85,02185,13824.0,2.1042826749190083e-08,
86,02188,1273.0,0.0,
87,02195,1616.0,0.007999248211302245,
88,02198,3051.0,0.00432771394445989,
89,02220,6967.0,0.0018043306484463895,
90,02230,791.0,0.0,
91,02240,4250.0,0.004119355025440162,
92,02261,6421.0,0.0010627947721007893,
93,02275,292.0,0.0007205318991162515,
94,02282,61.0,0.0,
95,02290,785.0,0.00012647773487860057,
96,04001,22013.0,0.0003093673718350523,0.6746041148363148
97,04003,95342.0,0.00021837478794246333,0.3831627947828378
98,04005,205528.0,0.00069934608943173,0.6055464194946928
99,04007,35684.0,0.0014334133734040684,0.3305640783573283
100,04009,20013.0,0.0007998595873244656,0.2914532933074342
101,04011,7057.0,0.00688912650046202,0.3659517426273458
102,04012,10572.0,2.1022088497894424e-05,0.2823592685550376
103,04013,7303859.0,0.0021176822520983596,0.4846738671748946
104,04015,173648.0,0.002233922039480711,0.2304685952704754
