dataset,pre_years,post_years,n,corr_dem_exposure,corr_dem_rigidity
imports,"2016,2017","2018,2019",25,0.016480415173179157,0.09478082465770495
exports,"2016,2017","2018,2019",25,0.016480415173179157,0.09478082465770495
imports,"2016,2017",2019,25,0.016480415173179157,0.09478082465770495
exports,"2016,2017",2019,25,0.016480415173179157,0.09478082465770495
