dataset,pre_years,post_years,model,n,coef_dem_share,p_dem_share,coef_exposure,p_exposure,coef_rigidity,p_rigidity,r2
imports,"2016,2017","2018,2019",OLS_controls,25,-0.14663758104225516,0.47465232407762914,-0.319007397339405,0.5147840090273657,0.00022731722467717158,0.6108088117326085,0.0536626938320961
imports,"2016,2017","2018,2019",WLS_controls,25,-0.4658765588470882,0.025339682362796,0.12388169281646644,0.7888495107890676,-0.0004007402344679414,0.1556239930995463,0.2715024181062604
exports,"2016,2017","2018,2019",OLS_controls,25,-0.8882496558036987,0.0889726118372634,-1.8865740427877586,0.12795559755766006,-0.0006128481372473978,0.5791916074814926,0.23133916520818465
exports,"2016,2017","2018,2019",WLS_controls,25,-1.3601917132590275,0.012583770093662225,-2.1872866962283393,0.04963276061276527,-0.0016241487873774106,0.013836766219852316,0.4224172661507388
imports,"2016,2017",2019,OLS_controls,25,-0.07216230866996072,0.7449214888867686,-0.2161700794766393,0.683671650975213,0.00023001125194665063,0.6354696288344779,0.02280345648837001
imports,"2016,2017",2019,WLS_controls,25,-0.3159352291316417,0.20083017406331993,0.4595737868167702,0.4247996705165128,-0.00011404431902108495,0.7379415292989353,0.10866938488659761
exports,"2016,2017",2019,OLS_controls,25,-1.1363797588291666,0.04166246426122379,-2.087591629314798,0.11025866409174594,-0.001038916967181478,0.3741723128086071,0.2964009036591192
exports,"2016,2017",2019,WLS_controls,25,-1.5118587459697803,0.01165400386127425,-2.365053239406321,0.05282480154535561,-0.0016709639714751268,0.020008892922902925,0.4132882446400451
