dataset,year,coef_dem_x_year,p_value
imports,2012,-1.4049853259949003,0.1131705843669592
imports,2013,-0.9606017857569906,0.18499314704337644
imports,2014,-0.7843533949338256,0.1403512732013221
imports,2016,0.38719358884241234,0.1998650969786906
imports,2017,-0.13141852053794856,0.6593412390117321
exports,2012,-0.2597050073099027,0.7585609974227087
exports,2013,-0.3877323800033341,0.3702115547098297
exports,2014,-0.7418224094747601,0.006201383844575012
exports,2016,-0.0285196889979681,0.913595196518264
exports,2017,-1.259170677760332,0.029198454035121404
