dataset,post_start,n,coef_dem_post,p_value,r2
imports,2018-07-01,2736,-0.12596650749000593,0.6370992389545075,0.9909655776947915
exports,2018-07-01,2736,-1.046623513521232,0.35619955444162665,0.9861819786362016
imports,2019-01-01,2736,-0.1418320711754826,0.6180694666211799,0.9909683878684437
exports,2019-01-01,2736,-0.9595581913755745,0.3654633153985548,0.9861515055503832
