naics3,pre_value,post_value,dem_share,log_change,pct_change,abs_log_change,abs_pct_change,dataset,pre_years,post_years
113,206552576.625,219491637.91666666,0.37794667258382,0.060759147390527346,0.0626429430370059,0.060759147390527346,0.0626429430370059,imports,"2016,2017","2018,2019"
114,1294673027.9166667,1358201004.7916667,0.5360206485960334,0.047902858318046526,0.04906874207244938,0.047902858318046526,0.04906874207244938,imports,"2016,2017","2018,2019"
211,10501090693.333334,12591808119.916666,0.3980050535504876,0.1815673259814794,0.19909526425770552,0.1815673259814794,0.19909526425770552,imports,"2016,2017","2018,2019"
212,383940607.2916667,458006023.375,0.3503220432995317,0.17639446338747078,0.19290852459132646,0.17639446338747078,0.19290852459132646,imports,"2016,2017","2018,2019"
311,4949965339.541667,5664395827.208333,0.5021685676494811,0.13481966425353775,0.14433040206556624,0.13481966425353775,0.14433040206556624,imports,"2016,2017","2018,2019"
312,1979182788.0833333,2202412632.125,0.5860761247747622,0.1068693842304036,0.11278889720834995,0.1068693842304036,0.11278889720834995,imports,"2016,2017","2018,2019"
313,684811477.6666666,707493675.7916666,0.4393182838166458,0.03258510536863213,0.03312181361545541,0.03258510536863213,0.03312181361545541,imports,"2016,2017","2018,2019"
314,1761713187.7083333,1934463707.9583333,0.4560377545307784,0.09354339684925961,0.09805825457588635,0.09354339684925961,0.09805825457588635,imports,"2016,2017","2018,2019"
315,7045069423.708333,7311338989.958333,0.6654534055934824,0.0370984297231125,0.03779516570183672,0.0370984297231125,0.03779516570183672,imports,"2016,2017","2018,2019"
316,3183126001.0,3276529739.5833335,0.5733617684630457,0.028921122960266388,0.029343399712732143,0.028921122960266388,0.029343399712732143,imports,"2016,2017","2018,2019"
321,1622692790.625,1658151977.625,0.4224203251330003,0.021616730009334617,0.02185206417681962,0.021616730009334617,0.02185206417681962,imports,"2016,2017","2018,2019"
322,1642137722.0833333,1800343424.7916667,0.5159129537331816,0.09197855614770134,0.09634131204758045,0.09197855614770134,0.09634131204758045,imports,"2016,2017","2018,2019"
323,459381181.8333333,490900085.7083333,0.5390494485762766,0.06636028872956601,0.06861165655330503,0.06636028872956601,0.06861165655330503,imports,"2016,2017","2018,2019"
324,3820401134.625,5293168516.416667,0.541594869441496,0.3260616037994666,0.3855007183522443,0.3260616037994666,0.3855007183522443,imports,"2016,2017","2018,2019"
325,18027153934.5,21423729093.833332,0.5486899845346436,0.1726199707920486,0.18841438707820846,0.1726199707920486,0.18841438707820846,imports,"2016,2017","2018,2019"
326,4284542309.9583335,4925967719.666667,0.4825088371443883,0.1395070124251987,0.1497068679232092,0.1395070124251987,0.1497068679232092,imports,"2016,2017","2018,2019"
327,1866432002.4166667,2059227988.7083333,0.4965023283603753,0.0983025616180484,0.10329654980306446,0.0983025616180484,0.10329654980306446,imports,"2016,2017","2018,2019"
331,7161717364.375,7607460274.041667,0.5048803354097867,0.06037957325731824,0.06223966780425538,0.06037957325731824,0.06223966780425538,imports,"2016,2017","2018,2019"
332,5670905486.416667,6387454733.0,0.498529565886642,0.11898706592449315,0.12635534982899288,0.11898706592449315,0.12635534982899288,imports,"2016,2017","2018,2019"
333,13359606778.208334,15713273902.125,0.4979457043639007,0.16227009171100448,0.17617787431856713,0.16227009171100448,0.17617787431856713,imports,"2016,2017","2018,2019"
334,32199471983.958332,33396158698.041668,0.6012632400110499,0.036490829925739376,0.037164793095971316,0.036490829925739376,0.037164793095971316,imports,"2016,2017","2018,2019"
335,9074793462.75,10387697549.375,0.5448066506961518,0.13512155702479234,0.1446759192938305,0.13512155702479234,0.1446759192938305,imports,"2016,2017","2018,2019"
336,31655967501.291668,33882014859.875,0.4991828402386873,0.06795766103413925,0.07031999127786892,0.06795766103413925,0.07031999127786892,imports,"2016,2017","2018,2019"
337,3346387444.375,3639747791.0416665,0.4596825362541231,0.08403300191367435,0.0876647882359769,0.08403300191367435,0.0876647882359769,imports,"2016,2017","2018,2019"
339,9982971274.333334,10656091103.25,0.5561162219852294,0.0652508943488499,0.06742680214329444,0.0652508943488499,0.06742680214329444,imports,"2016,2017","2018,2019"
113,215420048.66666666,204238282.08333334,0.37794667258382,-0.05330247520453568,-0.05190680557609373,0.05330247520453568,0.05190680557609373,exports,"2016,2017","2018,2019"
114,466254019.4166667,456903424.0416667,0.5360206485960334,-0.02025854904014679,-0.020054723360237392,0.02025854904014679,0.020054723360237392,exports,"2016,2017","2018,2019"
211,2839390545.3333335,7158210240.916667,0.3980050535504876,0.9246705509430093,1.521037570080491,0.9246705509430093,1.521037570080491,exports,"2016,2017","2018,2019"
212,1245399214.4166667,1677962532.1666667,0.3503220432995317,0.29812414626394457,0.3473290433643068,0.29812414626394457,0.3473290433643068,exports,"2016,2017","2018,2019"
311,5231951030.125,5534153525.666667,0.5021685676494811,0.0561543688143864,0.05776095643893031,0.0561543688143864,0.05776095643893031,exports,"2016,2017","2018,2019"
312,722753978.9583334,758381091.4583334,0.5860761247747622,0.0481171322960634,0.049293554289866925,0.0481171322960634,0.049293554289866925,exports,"2016,2017","2018,2019"
313,768955812.2916666,784290293.875,0.4393182838166458,0.019745718020626413,0.019941954190622502,0.019745718020626413,0.019941954190622502,exports,"2016,2017","2018,2019"
314,268896673.75,269230478.5416667,0.4560377545307784,0.0012406169547816148,0.001241386838340075,0.0012406169547816148,0.001241386838340075,exports,"2016,2017","2018,2019"
315,442373127.4166667,467456113.125,0.6654534055934824,0.05515176301954128,0.05670097063718771,0.05515176301954128,0.05670097063718771,exports,"2016,2017","2018,2019"
316,375093709.5,365973222.5,0.5733617684630457,-0.02461571859605627,-0.02431522248708895,0.02461571859605627,0.02431522248708895,exports,"2016,2017","2018,2019"
321,622482841.125,621878393.3333334,0.4224203251330003,-0.0009714989867397605,-0.0009710272343800286,0.0009714989867397605,0.0009710272343800286,exports,"2016,2017","2018,2019"
