dataset,year,coef_dem_x_year,p_value
imports,2016,0.5186121093804287,0.0033762017460341257
imports,2018,-0.041402578958206405,0.8045369132730428
imports,2019,0.26530048831972797,0.2512268817394333
imports,2020,0.11824446336637717,0.849101081541415
imports,2021,-0.33092158904650026,0.38421346235856846
imports,2022,-0.19532381993504377,0.517193782695723
imports,2023,0.15568124693719365,0.7583624950025151
imports,2024,0.09044584415096846,0.8492742614734677
exports,2016,1.2306509887623194,0.017729882980821305
exports,2018,-0.4411477717516595,0.28735977765000154
exports,2019,-0.25040546016336274,0.733033295982718
exports,2020,-0.5503387027427201,0.45530473295016416
exports,2021,-0.9718748062667817,0.30139414903125405
exports,2022,-1.163788334780099,0.3768126734834736
exports,2023,-0.6861700902159864,0.5959340753178213
exports,2024,-0.5557653200619304,0.657027512443369
