dataset,pre_years,post_years,n,pearson_dem_abs_log,spearman_dem_abs_log,low_q_abs_log_mean,high_q_abs_log_mean,t_test_p
imports,"2016,2017","2018,2019",25,-0.14713953623307555,-0.1823076923076923,0.09292845298576832,0.08319602700074467,0.7675858076837916
exports,"2016,2017","2018,2019",25,-0.35806020756072043,0.057692307692307696,0.18992284349091243,0.05243172304636344,0.32713307414447457
imports,"2016,2017",2019,25,-0.06303441594319029,-0.12461538461538461,0.07520016700060188,0.08309636838378408,0.8179388630302402
exports,"2016,2017",2019,25,-0.41983204258836115,-0.2323076923076923,0.2272980002318111,0.04440314730848728,0.23630030800548565
imports,2016,"2018,2019",25,-0.3272649847264273,-0.28307692307692306,0.15323000046608928,0.10101295670588481,0.28253882497663346
exports,2016,"2018,2019",25,-0.3924917468369937,-0.02,0.28785898677964894,0.06309343216060016,0.2762118650111255
